,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
3801,937640,1091100.0,american distilled spirit specialty,river baron artisan spirit,750.0,80.0,domestic,other
3802,59184,1071100.0,cocktails /rtd,dulce vida watermelon rtd,1750.0,30.0,domestic,cocktails
3803,915590,1012400.0,irish whiskies,drunken sailor irish whiskey  6/750ml  80p,750.0,80.0,domestic,whiskey
3804,941161,1031200.0,american flavored vodka,rain cucumber vodka,750.0,60.0,domestic,vodka
3805,921970,1011500.0,straight rye whiskies,wathen's single barrel bourbon,750.0,94.0,domestic,whiskey
3806,21589,1011300.0,single barrel bourbon whiskies,eh taylor jr single barrel,750.0,100.0,domestic,whiskey
3807,21228,1701100.0,temporary & specialty packages,1792 full proof,750.0,125.0,domestic,other
3808,921198,1011200.0,straight bourbon whiskies,rebel cask strength buy the barrel,750.0,120.0,domestic,whiskey
3809,44889,1062100.0,gold rum,mezan chiriqui rum,750.0,80.0,domestic,rum
3810,80422,1701100.0,temporary & specialty packages,pennsylvania dutch pumpkin cream,1750.0,25.0,domestic,other
3811,975258,1081300.0,american cordials & liqueur,koval cranberry gin liqueur,750.0,60.0,domestic,liqueur
3812,920676,1011100.0,blended whiskies,old medley 12yr,750.0,86.0,domestic,whiskey
3813,925474,1011300.0,single barrel bourbon whiskies,coalesence,750.0,90.0,domestic,whiskey
3814,985558,1041100.0,american dry gins,koval dry gin,750.0,94.0,domestic,gin
3815,982656,1081330.0,peach schnapps,dekuyper peach pucker,750.0,30.0,domestic,schnapps
3816,937203,1032100.0,imported vodkas,outerspace vodka mini,50.0,80.0,imported,vodka
3817,915728,1012400.0,irish whiskies,kilbeggan small batch rye,750.0,86.0,domestic,whiskey
3818,614,1701100.0,temporary & specialty packages,rumchata w/2 shot glasses,750.0,27.0,domestic,rum
3819,101473,1701100.0,temporary & specialty packages,99 brand variety party yard pack mini,50.0,99.0,domestic,other
3820,17658,1700000.0,temporary &  specialty packages,double barrel bourbon,375.0,90.0,domestic,whiskey
3821,987139,1022200.0,100% agave tequila,adictivo extra anejo black,750.0,80.0,domestic,tequila
3822,74776,1081030.0,coffee liqueurs,iowa coffee company liqueur,375.0,40.0,domestic,liqueur
3823,902263,1081380.0,miscellaneous schnapps,dekuyper luscious blueberry blast,750.0,30.0,domestic,schnapps
