,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
1588,5746,casey's general store #3037 / cherokee,cherokee,18,cherokee,51012,POINT (-95.552351 42.764395),1200 n 2nd st,Convenience
1589,6009,casey's general store #1081 / fontanelle,adair,1,fontanelle,50846,POINT (-94.564008 41.289607),304 washington st,Convenience
1590,6059,casey's general store #1793 / iowa falls,hardin,42,iowa falls,50126,POINT (-93.279976 42.519662),1801 washington ave,Convenience
1591,4983,river mart,des moines,29,west burlington,52655,POINT (-91.209254 40.839429),14562 washington rd,Convenience
1592,5864,casey's general store #2803 / villisca,montgomery,69,villisca,50864,POINT (-94.985437 40.934673),309 n u ave,Convenience
1593,4421,kum & go #1 / hampton,franklin,35,hampton,50441,POINT (-93.21508 42.741741),609 central ave w,Convenience
1594,5110,ramsey's market liquor,taylor,87,lenox,50851,POINT (-94.560455 40.882645),"200, n walnut st",Other Grocery
1595,4823,casey's general store #3223 / creston,union,88,creston,50801,POINT (-94.372568 41.066824),903 n sumner ave,Convenience
1596,5328,cornerstone apothecary,benton,6,van horne,52346,POINT (-92.091146 42.008325),122 main st,Drug
1597,2695,hy-vee gas #4 / des moines,polk,77,des moines,50321,POINT (-93.644948 41.542207),4701 fleur dr,Convenience
1598,3710,new york dollar store,louisa,58,columbus junction,52738,POINT (-91.360496 41.279559),219 main st,Other
1599,2845,cvs pharmacy #4816 / council bluffs,pottawattamie,78,council bluffs,51503,POINT (-95.344053 41.472968),545 w washington st,Drug
1600,5919,casey's general store #2584  / ossian,winneshiek,96,ossian,52161,POINT (-91.767672 43.146669),200 w main st,Convenience
1601,9031,lonely oak distillery,shelby,83,earling,51530,POINT (-95.479709 41.770879),1833 elmwood rd,Liquor/Tobacco
1602,5377,casey's general store # 2517/ rockwell city,calhoun,13,rockwell city,50579,POINT (-94.637172 42.398728),627 high st.,Convenience
1603,4721,walgreens #05044 / burlington,des moines,29,burlington,52601,POINT (-91.140542 40.814794),3245 agency st,Drug
1604,4468,circle k #6600 / muscatine,muscatine,70,muscatine,52761,POINT (-91.041149 41.431606),802 cypress st,Convenience
1605,5883,kimmes humboldt country store #14,humboldt,46,humboldt,50548,POINT (-94.181182 42.510582),411 13th st,Convenience
1606,4982,kimmes country store alta 05,buena vista,11,alta,51002,POINT (-95.303734 42.675619),101 e  hwy 7,Convenience
1607,6226,rock c liquor & wine & tobacco / iowa falls,hardin,42,iowa falls,50126,POINT (-93.262607 42.521431),418 rocksylvania avenue,Liquor/Tobacco
1608,4786,casey's general store #1706 / winterset,madison,61,winterset,50273,POINT (-94.013479 41.34362600000001),1021 n 1st st,Convenience
1609,3826,lakeside hotel & casino,clarke,20,osceola,50213,POINT (-93.797561 41.040078),777 casino dr,Casino
1610,4661,quik trip #531 / grimes,polk,77,grimes,50111,POINT (-93.773467 41.658525),"1900, se 37th st",Convenience
1611,5507,quik trip #559 / fleur,polk,77,des moines,50321,POINT (-93.644902 41.54787),4021 fleur dr,Convenience
1612,5277,cubby's onawa,monona,67,onawa,51040,POINT (-96.126534 42.026608),2715 iowa ave,Other
1613,5642,waspy's truck stop,audubon,5,audubon,50025,POINT (-94.925086 41.705438),2079 hwy 71,Convenience
1614,4596,quik trip #534 / e university dm,polk,77,des moines,50317,POINT (-93.558972 41.600468),2945 e university,Convenience
1615,6207,dubuque tobacco & grocery / dubuque,dubuque,31,dubuque,52001,POINT (-90.66806 42.504825),1248 iowa street,Other Grocery
1616,5823,casey's general store #2431 / sioux center,sioux,84,sioux center,51250,POINT (-96.175411 43.084309000000005),8 7th st ne,Convenience
1617,5582,casey's general store #1398 / roland,story,85,roland,50236,POINT (-93.500072 42.166381),201 e maple,Convenience
1618,4760,walgreens #07455 / waterloo,black hawk,7,waterloo,50701,POINT (-92.357476 42.469401),111 w ridgeway ave,Drug
1619,5817,casey's general store #1950 / grinnell,poweshiek,79,grinnell,50112,POINT (-92.733666 41.746178),217 6th ave,Convenience
1620,5114,casey's general store #2612 / missou,harrison,43,missouri valley,51555,POINT (-95.894321 41.55643100000001),"106, e  erie st",Convenience
1621,4791,walgreens #05470 / sioux city,woodbury,97,sioux city,51106,POINT (-96.347085 42.470416),4650 morningside ave,Drug
1622,5683,casey's general store #2697 / onawa,monona,67,onawa,51040,POINT (-96.097205 42.03035700000001),706 10th st,Convenience
1623,5818,casey's general store #2894 / indianola,warren,91,indianola,50125,POINT (-93.548318 41.358073),1101 e 2nd ave,Convenience
